st_x|st_y|count
-9320460.920584766|5037231.375024273|5
-9320416.838066412|5037232.705931046|3
-9322551.389302371|5037220.432019945|3
-9320399.472225849|5037769.963564709|3
-9320401.809935156|5038297.489931489|3
-9318754.504110396|5039346.712416577|2
-9317858.938806962|5039185.638880059|2
-9317716.67249773|5039343.162557703|2
-9316125.249057349|5039372.89266592|5
-9316123.801903969|5039240.956762343|3
-9316663.590114824|5039330.442240772|2
-9316119.905721791|5039101.479392338|3
-9316117.12273452|5038838.7999998005|3
-9317173.878660621|5037776.766357179|2
-9316096.639948215|5037764.491756834|3
-9316173.339077372|5037329.1232192945|3
-9316175.676786678|5037423.766889371|3
-9315017.842762938|5037229.30472521|3
-9315989.661917564|5037553.164028103|3
-9315187.159708435|5038290.98256275|3
-9315207.419855759|5037959.260442442|2
-9315122.371764792|5037922.731772566|2
-9315147.084691748|5037940.034809549|2
-9315100.998422561|5037999.782285944|3
-9315027.416239146|5037922.140216292|4
-9315041.219856003|5037924.210663407|4
-9314863.77658768|5037904.097767304|3
-9314636.350867989|5038276.340999065|4
-9315068.381811759|5038060.86115135|2
-9315029.531309472|5038284.9188821735|3
-9314434.083353218|5038583.226886917|3
-9314516.682415387|5038581.156298952|3
-9314710.155690385|5038585.297475322|2
-9314553.974444803|5038805.22606381|3
-9315029.086031508|5038593.57983337|3
-9315030.199226417|5038816.02295564|3
-9315574.774175376|5038705.836063164|3
-9315348.350331103|5038701.842736231|3
-9315187.827625379|5038698.441014591|2
-9315864.42749042|5038720.774078503|2
-9315796.967879|5038719.73876977|2
-9315903.389312198|5039096.154739324|2
-9315797.969754416|5038968.807660203|2
-9315189.27477876|5038965.849559794|2
-9315349.018248048|5038968.216040048|3
-9315573.88361945|5039092.309158413|3
-9315330.98449054|5039357.50991197|3
-9315451.098221105|5039359.580665886|3
-9315796.299962055|5039207.67724985|2
-9315897.489379186|5039208.712610738|4
-9315744.202440364|5039570.947805106|3
-9315751.99480472|5039747.115264031|3
-9315608.392661594|5039562.220869023|3
-9315034.540686557|5039552.754370978|3
-9314794.090586444|5039546.3940728|2
-9314872.793466434|5039734.246499863|3
-9315038.436868735|5039757.173620344|3
-9315041.553814476|5039948.432294905|3
-9314873.461383378|5039952.130295668|3
-9314786.186902596|5039957.011658833|4
-9314557.98194647|5039773.592430293|3
-9314558.204585452|5039826.694898096|3
-9314721.732917426|5039953.7574164495|3
-9314558.649863416|5039956.124138078|3
-9314514.010747608|5039956.41997832|3
-9314406.921397464|5039951.242775356|3
-9314402.13465936|5039824.03237189|2
-9314513.788108625|5039826.990734385|3
-9314718.05937423|5039733.654832957|2
-9314400.019589035|5039539.442123753|3
-9314409.815704225|5039342.275093189|3
-9314398.349796673|5039342.127182448|3
-9314640.69232813|5039268.32000271|2
-9314704.701035336|5039346.712416577|2
-9314685.66540241|5039346.268684145|3
-9314639.022535767|5039345.381219346|2
-9314561.210211704|5039343.754200759|2
-9314873.238744397|5039348.931079028|3
-9315031.312421324|5039351.149741992|4
-9314869.899159674|5039077.37057013|2
-9314869.787840182|5039138.3083224725|2
-9315030.310545906|5039082.843119599|6
-9314560.097016795|5039135.054355131|2
-9314333.56185303|5039074.116623261|2
-9314408.368550844|5039081.364051872|3
-9314418.164666034|5039028.117764025|3
-9314172.14859138|5038947.953071586|3
-9314308.18100913|5039021.609904472|3
-9314268.996548371|5039067.312919704|2
-9314138.752744144|5039049.712056595|2
-9314008.842898387|5039041.7251208555|2
-9314081.868484348|5039336.80239715|2
-9314007.395745007|5039336.654486489|2
-9313939.15689715|5039335.175380005|4
-9314006.950467044|5039175.285300826|2
-9314266.992797537|5039180.314180788|2
-9314267.772033973|5039339.612700136|3
-9314240.387439236|5039339.168968033|3
-9314137.305590764|5039337.394039818|3
-9313942.941759836|5039721.525669327|2
-9314085.875986015|5039725.667333249|3
-9314244.394940905|5039727.886082504|3
-9312590.63258568|5039550.387747914|3
-9312619.90961176|5039455.131649535|3
-9312622.358640557|5039304.557926495|3
-9313402.596951528|5039286.36499271|4
-9313407.16105065|5038512.827144453|2
-9313406.827092178|5038644.457331017|3
-9313406.938411668|5038782.005392009|3
-9313585.4948749|5038785.850849737|2
-9313720.525417231|5038646.675832632|3
-9314298.38489394|5038800.641085989|3
-9314172.816508327|5038798.422549111|3
-9313737.779938307|5038302.07467118|3
-9313736.778062887|5038410.038523322|2
-9313585.049596937|5038298.0815106835|3
-9313486.420528095|5038156.103540367|3
-9313522.933321074|5038030.247725155|3
-9313784.86808291|5037945.358827144|2
-9313406.159175234|5037921.992327231|4
-9313406.715772687|5037973.605747219|3
-9313406.715772687|5038147.969448834|3
-9313407.04973116|5038294.384141316|3
-9312325.135600138|5037851.893165626|4
-9311438.698494952|5037837.5480410615|3
