x,y
-9295689.55090,4891006.00818
-9295911.41064,4887789.06817
-9297046.09021,4882651.12605
-9297050.54299,4880719.55488
-9297136.81560,4882466.40899
-9297164.97943,4893382.42358
-9297275.96496,4875883.03769
-9297490.25498,4882355.92975
-9298463.96657,4886673.98028
-9298801.04198,4883761.39331
-9298934.29141,4895422.13794
-9298983.38331,4875668.91842
-9299037.15062,4871012.09599
-9299062.64279,4882704.54762
-9299065.31445,4874440.87665
-9299593.85940,4875567.38793
-9299598.75745,4896306.15464
-9299969.89664,4880654.35583
-9300207.78639,4891991.76512
-9300398.81063,4877446.45226
-9300448.34781,4875367.96647
-9301057.82202,4898376.79786
-9301131.96080,4890016.99907
-9301304.83997,4882329.87488
-9301410.92744,4876415.30123
-9301479.61157,4898406.10253
-9301778.94968,4876856.66961
-9301886.48431,4891359.73880
-9302321.07560,4875761.43134
-9302594.69891,4869938.72814
-9302675.07158,4893743.81699
-9302711.02778,4872010.40476
-9302735.29543,4872962.86118
-9302830.02831,4875594.87961
-9302924.98384,4878496.48030
-9303071.59161,4876975.52530
-9303080.60849,4880495.14387
-9303094.41210,4889414.08566
-9303109.32892,4874975.82628
-9303195.71284,4876726.32278
-9303211.18625,4897169.69597
-9303474.45685,4896996.51519
-9303642.43796,4869967.36722
-9303766.89315,4898405.08197
-9303841.81117,4885149.00217
-9303996.43394,4898253.01940
-9304036.50895,4881048.46736
-9304050.08993,4880036.44148
-9304052.53896,4873059.42065
-9304120.77781,4891807.31067
-9304223.41438,4892299.05117
-9304426.01585,4882594.93909
-9304459.63434,4885067.75814
-9304640.41719,4888800.72197
-9304671.25269,4892036.05802
-9304802.83233,4868829.57257
-9305117.75517,4874667.18678
-9305318.79817,4888822.27864
-9305872.94659,4895260.35614
-9305983.82081,4890837.59723
-9306024.22978,4874334.70466
-9306156.69998,4891368.62593
-9306311.99067,4884709.15670
-9306460.26823,4882878.35168
-9306462.49462,4870941.29055
-9306472.40205,4886959.69410
-9306484.42456,4887279.34804
-9306537.96923,4888691.48285
-9306608.54579,4877343.73969
-9306615.89288,4873881.37759
-9306680.90346,4873843.56491
-9307117.49850,4873620.18218
-9307182.28644,4890449.21404
-9307183.73360,4888565.64087
-9307196.86930,4873296.60611
-9307211.45215,4890101.48855
-9307308.18879,4873523.90811
-9307351.04679,4887398.18330
-9307397.24438,4894574.78050
-9307519.80714,4877346.79486
-9307541.84840,4878768.13517
-9307605.63447,4881122.11032
-9307736.99147,4878691.01760
-9307786.75128,4881184.25610
-9307797.66059,4891466.67633
-9307816.25095,4882872.67461
-9307819.81317,4890153.93066
-9307948.49850,4896936.31080
-9307991.02255,4888388.38700
-9308142.30573,4883694.57287
-9308228.57834,4874506.47115
-9308277.33628,4883622.94884
-9308380.08417,4893758.38958
-9308383.75771,4898092.94071
-9308435.52127,4893842.32813
-9308963.06434,4877354.79651
-9309032.08242,4868876.66919
-9309235.01786,4891761.41613
-9309323.51685,4872818.60541
-9309710.68604,4881909.80412
-9309742.52341,4890435.52039
-9309773.80419,4872703.58039
-9309946.12676,4868369.08413
-9310107.98530,4887925.82327
-9310141.71511,4877342.43032
-9310309.02830,4886596.50986
-9310376.59923,4874745.87294
-9310393.85375,4882714.15480
-9310407.21209,4877355.23297
-9310425.24585,4892344.51108
-9310495.04317,4896392.15554
-9310596.45523,4878804.07507
-9310683.17311,4892146.79112
-9310690.85416,4877411.39020
-9310764.32502,4890551.33432
-9310896.46126,4889591.35791
-9310963.58691,4882493.77426
-9310992.41866,4882028.13825
-9311038.61625,4873771.72122
-9311151.93949,4899759.60649
-9311353.76172,4886269.45158
-9311408.19695,4882328.27374
-9311554.24813,4888066.80388
-9311746.83085,4896275.98162
-9311788.46434,4891382.32088
-9311867.50117,4886310.80652
-9311895.88764,4893690.04431
-9312308.32636,4870321.65548
-9312354.18999,4870330.37837
-9312537.31055,4873872.65157
-9312618.12850,4870652.98532
-9312627.14538,4872806.68114
-9312640.39240,4896861.96690
-9312746.92515,4891058.60077
-9312937.05884,4897983.59884
-9313091.01370,4869221.32436
-9313094.46460,4898550.87762
-9313235.61772,4895015.21075
-9313592.06272,4900349.29824
-9313674.32783,4878141.31772
-9313735.77619,4895517.89652
-9313871.69729,4881574.31342
-9313888.50653,4889963.82934
-9313956.85670,4900456.33311
-9313987.80351,4896496.66951
-9314176.49005,4892878.53500
-9314182.05603,4872545.51405
-9314233.37431,4888620.25959
-9314315.41678,4870810.73072
-9314628.00191,4884572.15488
-9314831.38262,4874967.39020
-9314911.97793,4885686.71468
-9314927.45134,4875035.75174
-9314999.58637,4875045.20603
-9315206.86326,4892559.13714
-9315286.23406,4897255.99594
-9315321.63365,4897282.81906
-9315361.93131,4893194.73738
-9315365.82749,4872623.16546
-9315433.84370,4887850.09071
-9315702.01235,4899974.97696
-9315759.56453,4889191.66228
-9316301.80177,4872032.94275
-9316385.73667,4870976.91130
-9316404.10438,4891837.17865
-9316432.60217,4896947.24377
-9316434.16064,4891968.89025
-9316615.16614,4881641.70174
-9316658.69206,4892867.75224
-9316780.14162,4887992.38101
-9316821.10719,4879188.65471
-9316862.74068,4886961.44161
-9316936.65683,4899641.35157
-9316937.99266,4893253.46180
-9316938.54926,4899640.76832
-9316965.48857,4877423.17453
-9317064.00632,4889138.35132
-9317142.70920,4875286.22083
-9317160.52032,4888031.26725
-9317606.68884,4896635.87742
-9318082.24571,4898443.13443
-9318248.89098,4875385.56660
-9318299.98663,4899279.74237
-9318417.98529,4897757.77525
-9318440.24919,4873264.46722
-9318511.38234,4896700.89037
-9318597.32099,4895631.43796
-9318732.90813,4883307.34344
-9318747.82494,4900941.35852
-9318761.96252,4893766.55024
-9318793.13197,4893433.28016
-9318813.50344,4881461.66096
-9318814.39400,4881456.71243
-9318901.44584,4880380.32075
-9319029.46325,4890929.08656
-9319127.09045,4877607.79754
-9319195.77457,4876710.46598
-9319214.92152,4886036.17797
-9319953.86030,4877644.16970
-9320184.51429,4890507.19376
-9320289.93385,4889438.99389
-9320385.11201,4888365.37482
-9320528.38020,4900110.88005
-9320657.39949,4885077.51321
-9320699.03298,4897944.96500
-9320780.96412,4883487.12664
-9320796.10357,4881460.78769
-9321086.87008,4879877.53050
-9321284.23954,4897993.80403
-9321299.15635,4890599.99115
